study.name,dint,SD,id,outcome,time,treatments
Rummel_Bitc.,1.01549213,0.499462679,34,1,2,2
Rummel_Bitc.,0.926302958,0.490983473,34,1,3,2
Rummel_Bitc.,1.407932655,0.532367408,34,1,2,2
Rummel_Bitc.,0.650777091,0.467056512,34,1,3,2
Rummel_Bitc.,0.597846861,0.462165045,34,1,2,2
Rummel_Bitc.,0.849264907,0.468592997,34,1,3,2
Seiff_ElSak,4.009361125,0.231728454,35,1,2,9
Sheen_a,0.385700813,0.281368614,36,1,1,2
Sheen_a,0.568675941,0.2894012,36,1,3,2
Sheen_a,0.325614693,0.276465599,36,1,1,2
Sheen_a,0.839819691,0.299520224,36,1,3,2
Sheen_b,0.827999907,0.29827604,37,1,1,1
Sheen_b,0.761571107,0.287921616,37,1,3,1
Sheen_b,0.885438946,0.29574072,37,1,1,1
Sheen_b,1.129269152,0.311492069,37,1,3,1
Sheen_etal,0.707119717,0.39537363,38,1,2,2
Sheen_etal,-0.37362337,0.334766897,38,1,3,2
Sheen_etal,0.926753835,0.400738344,38,1,2,2
Sheen_etal,-0.153989252,0.338283599,38,1,3,2
Sheen_etal,0.286185689,0.356645269,38,2,2,2
Sheen_etal,0.474397474,0.379167739,38,2,3,2
Sheen_etal,0.505819807,0.366465893,38,2,2,2
Sheen_etal,0.694031591,0.383271608,38,2,3,2
Sheen_etal,0.772083324,0.393889462,38,3,2,2
Sheen_etal,0.012560749,0.342488875,38,3,3,2
Sheen_etal,-0.322915025,0.496070065,38,3,2,2
Sheen_etal,-1.082437599,0.461653622,38,3,3,2
Sheen_etal,0.455826822,0.365996987,38,4,2,2
Sheen_etal,0.387076763,0.367056887,38,4,3,2
Sheen_etal,-0.639171526,0.474666722,38,4,2,2
Sheen_etal,-0.707921585,0.485258377,38,4,3,2
Shint_Ellis,1.232360511,0.435645395,39,1,2,1
Shint_Ellis,0.601111073,0.372212765,39,1,2,1
Shint_Ellis,0.051981817,0.372391941,39,1,2,1
Shint_Ellis,0.250958077,0.365624034,39,1,2,1
Sob_Taybi,0.248388483,0.370310049,40,1,2,1
Sob_Taybi,0.419239053,0.376872507,40,1,2,1
Stefan_Revesz,-0.48773477,0.273486171,41,1,1,2
Stefan_Revesz,0.127126814,0.28658162,41,1,2,2
Stefan_Revesz,2.04388348,0.342069229,41,2,1,2
Stefan_Revesz,1.802630447,0.324257488,41,2,2,2
Stefan_Revesz,-0.125981087,0.267245606,41,1,1,2
Stefan_Revesz,0.508273779,0.292000737,41,1,2,2
Stefan_Revesz,1.97319605,0.353049299,41,2,1,2
Stefan_Revesz,1.858955626,0.340892723,41,2,2,2
Sun,0.736287357,0.481589973,42,1,3,5
Sun,0.094911369,0.432142347,42,1,3,5
Tanveer.etal,1.775050018,0.5478356,43,1,1,1
Tanveer.etal,1.732400345,0.542632903,43,1,2,1
Tanveer.etal,1.830776422,0.541614415,43,1,1,1
Tanveer.etal,1.375240216,0.496669661,43,1,2,1
Trscott_Hsu,-0.082745787,0.339561221,44,1,2,3
VanBe_Jng_Ken,-0.89110234,0.36931184,45,1,2,1
VanBe_Jng_Ken,0.249398873,0.357323853,45,1,2,1
VanBe_Jng_Ken,-1.316118317,0.419220673,45,2,2,1
VanBe_Jng_Ken,-0.175617104,0.405034757,45,2,2,1
VanBe_Jng_Ken,-1.045714711,0.362230087,45,3,2,1
VanBe_Jng_Ken,-0.285027144,0.35206098,45,3,2,1
VanBe_Jng_Ken,-0.767449207,0.375446516,45,4,2,1
VanBe_Jng_Ken,-0.00676164,0.363470027,45,4,2,1
VanBe_Jng_KenA,0.816714472,0.239290232,46,1,3,1
VanBe_Jng_KenA,0.145630823,0.23188472,46,1,3,1
VanBe_Jng_KenA,1.121367688,0.263716035,46,2,3,1
VanBe_Jng_KenA,0.450284039,0.257627277,46,2,3,1
VanBe_Jng_KenB,0.675093577,0.257019112,47,1,2,1
VanBe_Jng_KenB,0.068602139,0.262102951,47,1,3,1
VanBe_Jng_KenB,0.7816304,0.256617405,47,1,2,1
VanBe_Jng_KenB,0.175138962,0.26443297,47,1,3,1
VanBe_Jng_KenB,0.465992206,0.252572145,47,2,2,1
VanBe_Jng_KenB,0.138741009,0.268660483,47,2,3,1
VanBe_Jng_KenB,0.484342774,0.253581586,47,2,2,1
VanBe_Jng_KenB,0.157091578,0.264713828,47,2,3,1
Wagner,0.416149057,0.321325968,48,1,3,3
Wang,0.678153062,0.284886412,49,1,3,3
Wang,0.538078447,0.273423454,49,1,3,3
Yu_Cheng,0.600488673,0.273405003,50,1,1,3
Yu_Cheng,0.386961085,0.267568796,50,1,2,3
Zhang,-0.820966383,0.317891684,51,1,2,2
Zhang,-0.734246482,0.311539947,51,1,3,2
