person_id,gender,Female,audio_vocab_1,audio_vocab_2,audio_vocab_3,audio_vocab_4,audio_vocab_5,audio_vocab_6,ctest_1,ctest_2,ctest_3,ctest_4,ctest_5,ctest_6,dictation_1,dictation_2,dictation_3,dictation_4,dictation_5,dictation_6,elicited_speech_1,elicited_speech_2,elicited_speech_3,elicited_speech_4,elicited_speech_5,elicited_speech_6,text_vocab_1,text_vocab_2,text_vocab_3,text_vocab_4,text_vocab_5,text_vocab_6,text_vocab_7,elicited_speech_7,dictation_7,audio_vocab_7,ctest_7
210,FEMALE,1,3.048356133,-4.59511985,1.633721695,0.61173156,3.048356133,1.633721695,16.11809555,2.662587832,-0.211309094,1.021651249,16.11809555,0.117783037,5.091620065,-16.11809555,-16.05982664,5.091620065,5.091620065,0.967707429,0.907435558,1.367928739,0.590369732,1.512118951,0.807202318,1.124689099,3.741447316,1.945754885,2.41845565,1.966990419,3.799796816,1.157452787,NA,NA,NA,3.106649875,NA
211,MALE,0,-1.68674975,-0.222130243,-4.59511985,-4.59511985,0.61173156,0.122347706,-1.694595719,1.189584069,0.154150678,1.845826694,0.570544859,0.351397888,-16.11809555,-14.72681335,-15.14731647,5.091620065,5.091620065,-3.830839153,0.933247188,1.618119583,1.215708724,1.106606495,-16.11809555,0.664009598,-4.59511985,-4.59511985,-0.287299612,-1.577987888,-0.002606493,-2.811437653,-0.200804462,NA,NA,NA,NA
212,MALE,0,1.074473797,-0.794298141,0.470119715,0.61173156,1.074473797,1.626949797,0.405465108,2.036881931,2.427748237,1.15267951,0.492476484,-0.374693451,-16.11809555,5.091620065,-6.094155676,-6.740817514,-3.308535394,5.091620065,1.436331724,-16.11809555,1.061231483,1.906291193,0.838469523,1.802638207,-1.623185327,3.778654106,2.371622852,2.31637127,1.147315951,1.967645716,-0.55930925,NA,NA,NA,NA
213,MALE,0,3.048356133,1.544829224,-0.794298141,0.61173156,1.544829224,3.106649875,0.600773859,1.540445043,0.955511444,2.427748237,2.268683541,1.540445043,-6.950749708,1.086020572,-6.352820321,5.091620065,5.091620065,5.091620065,1.118823853,1.940926801,1.022092008,2.005881729,1.702118058,1.621083554,0.970335585,2.385736439,1.639133976,3.741447316,3.684604335,1.945754885,NA,NA,5.091620065,NA,NA
214,FEMALE,1,1.633721695,1.633721695,-4.59511985,0.112267129,1.014477605,0.61173156,1.128465254,0.84729786,0.955511444,-0.91629073,1.897119981,0.223143553,5.091620065,-16.11809555,-6.481836535,-16.11809555,-8.022168896,-16.11809555,1.161246623,1.159030951,0.768035653,1.286767031,0.875154051,1.173969623,1.059389057,-4.59511985,0.678415044,0.338788129,3.741447316,3.741447316,NA,NA,-16.11809555,NA,NA
215,MALE,0,1.544829224,1.544829224,-0.794298141,-1.68674975,1.544829224,-0.027409924,-0.980829252,16.11809555,-0.810930215,-0.171850258,0.271933717,-0.325422399,-13.00014348,5.091620065,-16.11809555,-16.11809555,-9.053219616,-1.108601351,-16.11809555,0.863815146,0.757543792,1.281799903,1.457818093,1.458861151,1.059389057,0.6211273,0.331421034,-0.853063484,0.678415044,0.58627419,NA,NA,5.091620065,NA,NA
216,FEMALE,1,1.544829224,3.106649875,1.074473797,1.544829224,1.633721695,1.633721695,0.579818495,1.435084527,0.656779535,-0.167054086,0.336472235,1.25276297,5.091620065,-3.11280136,5.091620065,-5.133212405,1.400820467,-7.553494736,-16.11809555,-0.207337321,1.603420131,0.704075533,0.324268674,0.896516755,2.427877964,1.945754885,0.92298659,1.607331963,1.115831854,0.667137127,NA,NA,-3.688257706,NA,NA
217,MALE,0,3.106649875,0.112267129,1.633721695,1.014477605,0.112267129,3.106649875,0.635988767,1.504077396,0.938269639,0.980829252,1.648658622,16.11809555,0.277934816,-7.971052931,5.091620065,1.914683393,5.091620065,5.091620065,1.496245366,2.03006899,2.314958211,0.832650461,2.061811876,1.504847554,3.741447316,0.6211273,0.667137127,1.147315951,2.431618334,0.685219665,NA,1.67634054,NA,0.844005574,NA
218,MALE,0,3.106649875,3.048356133,1.633721695,-0.027409924,0.844005574,3.106649875,0.322773392,1.504077396,0.646627165,0.737598942,2.639057324,1.819158441,5.091620065,5.091620065,-8.679542106,5.091620065,5.091620065,5.091620065,2.06971893,1.846666733,1.399138967,1.759261738,2.001419425,1.90117938,3.684604335,3.778654106,1.945754885,2.427877964,2.427877964,3.778654106,NA,NA,NA,1.633721695,NA
219,MALE,0,0.112267129,1.364739013,1.074473797,0.112267129,1.633721695,1.364739013,2.538973867,0.435318071,0.336472235,1.056052675,1.60943791,1.098612289,5.091620065,5.091620065,-3.190277933,1.23292063,-0.523656406,5.091620065,-16.11809555,1.947339276,1.841128902,1.656717848,1.698704803,1.259952449,3.778654106,0.30512197,3.778654106,1.639133976,0.489480085,0.970335585,NA,NA,5.091620065,NA,NA
